Engagements,Followers at Posting,Description,Day_of_Week,Time_in_seconds,Album,Photo,Video,Description_Score
424481,28077867,lace up #nbakicks,1,74002,0,1,0,-0.2211790228232824
511827,28077867,the cavs and celtics arrive for tonights big game 2 in boston 830pm et nbaonespn,1,67414,0,0,1,-4.390022587004702
755746,28077867,stephencurry30 bringing the   today at warriors practice in houston #dubnation,1,55044,0,0,1,2.7021623660453096
496433,28077867,"undefeated at the garden the best play from each of the celtics home games in the 2018 #nbaplayoffs 
___
 cavs celtics ecf game 2  830pm et
 nbaonespn",1,50226,0,0,1,-4.270430215341752
748912,28063271, words of encouragement from coach kerr ,1,2101,0,0,1,0.5206986447111905
443542,28063271,the warriors take 1 0 western conference finals lead with 119 106 victory #nbaplayoffs,0,85410,0,1,0,-0.763543467538132
730371,28063271,jharden13 cuts for the slam,0,82284,0,0,1,0.7848263251868821
418423,28063271,we got you #thisiswhyweplay,0,82166,0,1,0,-0.20972241809822903
653592,28063271,stephencurry30 with the steal andre with the slam,0,81928,0,0,1,0.4351262635034878
665798,28063271,cp3 with the handles and bucket,0,81600,0,0,1,-0.9743575622039651
403091,28063271,congrats to klaythompson of the warriors for moving up to 10th on the #nbaplayoffs 3pm list #thisiswhyweplay,0,81408,0,1,0,-3.1573680469111496
793340,28063271,jharden13 puts the  on his 24 point first half,0,79814,0,0,1,2.1085284144193017
665798,28063271,ccapela15 bears down on defense,0,79708,0,0,1,-0.4699734152994479
423471,28063271,this game ,0,78305,0,1,0,0.3079556432634634
607350,28063271,ccapela15 protects the paint for the houstonrockets,0,76180,0,0,1,-2.74813301827609
640220,28063271,stephencurry30 and jharden13 prepare for game 1 in houston the western conference finals tip at 9 pm et on nbaontnt #nbaplayoffs,0,74416,0,0,1,-2.6107926676978073
640220,28063271,stephencurry30 and jharden13 prepare for game 1 the western conference finals tip at 9 pm et on nbaontnt #nbaplayoffs,0,72131,0,0,1,-3.2351858130624285
615089,28063271,kd x the beard 9pm et nbaontnt,0,67343,0,0,1,-1.587850848723757
561092,28063271,look out for this houstonrockets jumpball routine as the western conference finals tip tonight 9pm et nbaontnt,0,50529,0,0,1,-4.163799755730881
347129,28063271,hows your bracket looking as the conference finals are underway theres still time to play the #nbaplayoffs bracket challenge presented by budweiserusa nbacom playoffs bracketchallenge ,0,39886,0,1,0,-4.878789827864484
941163,28051237, the details kingjames with the play by play from game 1 #nbaplayoffs,6,71772,0,0,1,2.7906830338336723
674662,28051237, #phantomcam,6,66504,0,0,1,0.0
409302,28051237,the celtics take 1 0 eastern conference finals lead with 108 83 victory #nbaplayoffs,6,64598,0,1,0,-2.128925859631292
790622,28051237, for mom #thisiswhyweplay,6,63664,0,0,1,-0.4514578467997804
643066,28051237,jaytatum0 making his mother proud on mothers day #nbaonabc #thisiswhyweplay,6,63321,0,0,1,-2.0314656743844113
329611,28051237,18 points and 7 boards in the first half for fchwpo #nbaonabc,6,60204,0,1,0,-0.799800198241958
784761,28051237,kingjames finds kevinlove backdoor for the oop #nbaonabc,6,59768,0,0,1,1.3488630750214234
581868,28051237,al_horford swats it away for the celtics #nbaonabc,6,59066,0,0,1,-0.48303989123982344
362688,28051237,the eastern conference finals are underway #nbaonabc,6,56569,0,1,0,-0.9326169211206039
860282,28051237,kingjames ready #nbaonabc,6,55471,0,0,1,3.169800866065888
624386,28051237,teamswish 41% from 3 in the #nbaplayoffs warms up from the perimeter #nbaonabc,6,54249,0,0,1,0.1490761011783345
867299,28051237,ahead of todays ecf action 330pm et #nbaonabc we bring back kingjames #tissotbuzzerbeater from 2015,6,51000,0,0,1,-0.9882906505427268
648543,28051237," the  that make the cavs and celtics special #nbabreakdown
___
 eastern conference finals game 1
 330pm et  #nbaonabc",6,41571,0,0,1,-3.291903826066792
346806,28051237,tell us who ya got for a chance to win a $500 nbastore gift card by using #kiawhoyagot + #sweepstakes,6,36212,0,1,0,-2.306012811095478
804710,28051237," to the moms that made us pros happy mothers day 
#thisiswhyweplay",6,29053,0,0,1,0.3072907161403502
640374,28039224," listen in as realtristan13 was micd up in the conference semis 
___
 cavs celtics ecf g1
 330pm et sunday
 #nbaonabc",6,12123,0,0,1,-3.7003140710726643
878145,28039224,the top no lk dimes from the 2017 18 regular season #bestofnba,6,1805,0,0,1,1.7944687689840744
780689,28039224, the top dunks from todays  nba2kleague action #thisisourtime,5,80133,0,0,1,1.435241099928773
479210,28039224,"2014 lebron james skills academy
 kingjames  x  jaytatum0  x  gmb_chum12
___
 jonlopez13 
___
 cavs celtics ecf game 1  330pm et sunday  #nbaonabc",5,71601,0,1,0,-2.596489499144256
727882,28039224,tossin it up to the best alley oops from the 2017 18 regular season #bestofnba,5,53218,0,0,1,0.9265760328306012
804724,28039224, the top 3 assists of the western conference semis #assistsoftheweek,5,42258,0,0,1,0.7605231488049602
804724,28039224, the top 3 assists of the eastern conference semis #assistsoftheweek,5,31928,0,0,1,1.57996952905141
671265,28025137,if you thought there wasnt any hoops on tonight check out this thrilling nba2kleague finish watch the #nba2kleague live on twitch now,4,78054,0,0,1,-1.05500530932959
565700,28025137,flashback friday kobebryant attracts the defense to set up shaq in the 2000 wcf #nbabreakdown,4,63445,0,0,1,-1.8519444987263824
660070,28025137, the sounds of the conference semis #nbaplayoffs,4,53014,0,0,1,-0.2786591171700586
735706,28025137, the top 3 #kumhohandles from the eastern conference semis #nbaplayoffs,4,32093,0,0,1,1.4376737290866428
395241,28011575,swipe through to see the custom courts our #nba2kleague teams will be playing on once the regular season begins on friday at 7pm et on twitch repost nba2kleague,3,77320,1,0,0,-7.629769542052771
611999,28011575,one of the #budweiserlegendarymoments in #nbaplayoffs history klaythompson buries 11 triples in game 6 of the 2016 wcf #tbt,3,65091,0,0,1,-1.3778054715069965
729767,28011575, the top 3 dunks from the conference semis #nbaplayoffs,3,43499,0,0,1,1.6286218229685208
397010,28011575,four remain #nbaplayoffs #thisiswhyweplay,3,30056,0,1,0,-0.3113209491062372
507098,27998337,the 2018 eastern conference finals between the cavs and celtics tips off sunday 5 13 at 330pm et #nbaonabc,2,84399,0,1,0,-4.87491230981011
410973,27998337,the celtics 4 1 defeat the sixers 114 112 to advance to the conference finals,2,84022,0,1,0,-4.422116825180317
452215,27998337,for the second consecutive season the celtics are eastern conference finals bound,2,82523,0,1,0,-2.92934741228551
607405,27998337,gmb_chum12 beats the buzzer to extend the celtics lead,2,76802,0,0,1,-2.383130215160759
665859,27998337,bensimmons fakes it to the rack,2,76456,0,0,1,-0.5295623974460607
607405,27998337,the celtics are out  running nbaontnt,2,74498,0,0,1,-2.1572388239426243
332438,27998337,dwane casey has been named the recipient of the 2018 michael h goldberg nbca coach of the year award #nba #nbacoaches repost nbacoaches,2,39195,0,1,0,-2.0151109312608253
559074,27998337,cp3 puts up 20 of his #nbaplayoffs career high 41 in the 4th to lead the houstonrockets into the western conference finals,2,30882,0,0,1,-3.5296035155091405
787301,27979110,respect the warriors advance to the wcf #thisiswhyweplay,2,5834,0,0,1,0.8985486008807827
358740,27979110,the 2018 western conference finals between the warriors and houstonrockets tips off monday 5 14 at 9pm et nbaontnt,2,4246,0,1,0,-4.673155909762624
394740,27979110,the warriors defeat the pelicansnba 113 104 to advance to the conference finals #nbaplayoffs,2,4141,0,1,0,-1.8850387085652656
434353,27979110,for the fourth consecutive season the warriors are western conference finals bound,2,3065,0,1,0,-2.021315530652481
372385,27979110,jrue_holiday11 notches his first career #nbaplayoffs triple double,2,2732,0,1,0,-2.0757608135101373
670715,27979110,stephencurry30 with the slick dime to kevindurant,2,359,0,0,1,-0.25524608298042895
665871,27979110,howd jrue_holiday11 get that pass off,1,85055,0,0,1,0.21095774812592155
318406,27979110,the houstonrockets defeat the utahjazz 112 102 on cp3s career night to advance to the conference finals #nbaplayoffs,1,81898,0,1,0,-5.92113270258982
607416,27979110,cp3  the houstonrockets are headed to the western conference finals,1,80598,0,0,1,-3.5166045920274325
385518,27979110,the houstonrockets are western conference finals bound,1,80055,0,1,0,-3.0999738093532287
639852,27979110,stephencurry30 x traeyoung #nbaplayoffs,1,76542,0,0,1,0.5364416429643516
607416,27979110,spidadmitchell is loose for game 5 nbaontnt,1,71857,0,0,1,-2.1446450350680464
561153,27979110,spidadmitchell hits the floor for tonights pivotal game 5 in houston 800pm et nbaontnt,1,67236,0,0,1,-1.6116885087291097
319831,27979110,join us in wishing _kw15 of the hornets a happy 28th birthday #nbabday,1,31478,0,1,0,-4.59161536025027
735918,27915879,handshake game on point #thisiswhyweplay,0,85077,0,0,1,-0.21389902684618164
426001,27915879,the cavs defeat the raptors 123 98 to advance to the conference finals #nbaplayoffs,0,84941,0,1,0,-4.658095849618857
468751,27915879,for the fourth consecutive season the cavs are eastern conference finals bound,0,83264,0,1,0,-3.35436600690029
682123,27915879,  #phantomcam,0,82461,0,0,1,0.0
665883,27915879,jvalanciunas with the denial,0,81927,0,0,1,-0.5264217761236711
975498,27915879, the around the back dime or the spin move kingjames is doing it all,0,79656,0,0,1,4.124192196761686
607427,27915879,demar_derozan takes it strong to end the quarter for the raptors,0,76943,0,0,1,-1.236113730541311
426001,27915879,"congrats to teamswish of the cavs for moving up to 9th on the #nbaplayoffs 3pm list

#thisiswhyweplay #whateverittakes",0,76062,0,1,0,-5.684923009113879
345248,27915879,"congrats to sergeibaka of the raptors for moving up to 9th on the #nbaplayoffs blocks list 
#thisiswhyweplay #wethenorth",0,75290,0,1,0,-5.824117453477878
428719,27915879,the sixers 1 3 defeat the celtics 103 92 #nbaplayoffs,0,74525,0,1,0,-2.9767739288566935
735918,27915879,a kiss and high five for dad #thisiswhyweplay,0,74312,0,0,1,-0.09483650229271881
735918,27915879,tj #philaunite,0,72550,0,0,1,0.22779270150014613
511901,27915879,tjmcconnell threads the needle to bensimmons nbaontnt,0,65785,0,0,1,-2.5976321045185173
416970,27915879,with their season on the line bensimmons and joelembiid get loose for game 4 sixers vs celtics at 6 pm et on nbaontnt #nbaplayoffs,0,61762,0,0,1,-8.127222917867872
560570,27915879,"a moment heard around the world #globalgame
___
 raptors cavs g4
 830pm et  nbaontnt",0,53391,0,0,1,-2.438977930621147
520471,27915879,"the celtics turn defense into the transition triple  #nbabreakdown  ___
 sixers x celtics game 4
 600pm et  nbaontnt",0,41559,0,0,1,-5.023487912197792
346793,27915879,hows your bracket looking today theres still time to play the #nbaplayoffs bracket challenge presented by budweiserusa nbacom playoffs bracketchallenge ,0,31565,0,1,0,-3.554604270050365
623274,27915879,cp3 27p 12r 6a with his mother on tonights birthday win and ccapela15s impact,0,1025,0,0,1,-1.6455345318389027
613786,27915879,jharden13 liked that ccapela15 swat #phantomcam,6,82598,0,0,1,1.649954132571446
650385,27915879,ccapela15 records 5 4th quarter blocks to help secure the houstonrockets w,6,82070,0,0,1,-1.8012752883562295
794933,27915879,jharden13 gifts his #nbakicks in utah #thisiswhyweplay,6,81073,0,0,1,2.093142493931871
706458,27915879,joeingles7 drives  finds rudygobert27 ,6,77968,0,0,1,-0.8799813518092019
848971,27915879,the fake or the slam ,6,75946,0,0,1,0.0358460317300941
650385,27915879,spidadmitchell spins to the rack for the utahjazz,6,75384,0,0,1,-1.5693381672476752
672393,27915879,a lot just happened #phantomcam,6,75364,0,0,1,0.4254438064925507
650385,27915879,on his 33rd birthday cp3 goes through his game prep for houstonrockets game 4 in utah,6,68490,0,0,1,-3.664896175052582
402357,27915879,the warriors take 3 1 series lead defeat pelicansnba 118 92 #nbaplayoffs,6,64952,0,1,0,-1.4916831346487376
548103,27915879,get pumped for tonights utahjazz action 8pm et nbaontnt with spidadmitchells wizardry,6,64566,0,0,1,-4.5930096014274095
465021,27915879,"congrats to stephencurry30 of the warriors for moving up to 3rd on the #nbaplayoffs 3pm list

#thisiswhyweplay #dubnation",6,61739,0,1,0,-1.901717017496113
595357,27915879,as the houstonrockets seek a 3 1 series lead 8pm et nbaontnt we showcase cp3 with the ,6,58290,0,0,1,-3.882987860965823
684548,27915879,steph knocks down 5 in a row from the logo ahead of game 4 330pm et #nbaonabc #nbaplayoffs,6,53486,0,0,1,-0.2259892315612057
721872,27915879,"stephencurry30 loves this game 
___
 warriors pelicansnba g4
 330pm et  #nbaonabc",6,45228,0,0,1,0.6301773219757961
314897,27915879,its the last day + votes count double vote by making a post with #communityassist and #playername for the seasonlong nbacares community assist award presented by kpthrive,6,41672,0,1,0,-3.9267361761273403
314897,27915879,join us in wishing cp3 of the houstonrockets a happy 33rd birthday #nbabday,6,30656,0,1,0,-4.927086316399252
608768,27915879,nba legend thedr34m works with houstonrockets rook officialzhouqi at practice on saturday,6,11416,0,0,1,-2.6835698809588524
801977,27915879,every angle,6,7164,0,0,1,0.04848215882908308
808518,27915879,the mood in cleveland #thisiswhyweplay,6,1900,0,0,1,1.0175899418636178
618369,27915879,poetry in motion for the cavs win #thisisyourtime #phantomcam,5,85825,0,0,1,-0.9641028873844865
458433,27915879,the cavs take 3 0 series lead defeat raptors 105 103 #nbaplayoffs,5,85714,0,1,0,-4.356898307914248
969426,27915879,kingjames takes it and wins it with the tissot buzzer beater #thisisyourtime,5,84184,0,0,1,2.4770458655130523
371532,27915879,"congrats to sergeibaka of the raptors for moving up to 10th on the #nbaplayoffs blocks list 
#thisiswhyweplay #wethenorth",5,82166,0,1,0,-5.560239678858057
827242,27915879,kingjames sees an opening #phantomcam,5,80576,0,0,1,2.798432825293695
556306,27915879,"congrats to kingjames of the cavs for moving up to 5th on the #nbaplayoffs games played list

#thisiswhyweplay #whateverittakes",5,76422,0,1,0,-2.5486174020533725
931307,27915879,kingjames weaves through traffic for the slam #nbaonabc,5,75784,0,0,1,1.343398135928266
650385,27915879,al_horford makes big plays in crunch time for the celtics,5,72808,0,0,1,-1.5253651385699167
461359,27915879,the celtics take 3 0 series lead defeat sixers 101 98 in ot #nbaplayoffs,5,72146,0,1,0,-4.0438366039750635
718790,27915879,the celtics prevail in ot to take 3 0 series lead #cusrise,5,72138,0,0,1,-1.4331660198291896
784311,27915879,poetry in motion ,5,67492,0,0,1,0.5896461735100551
652651,27915879, bensimmons to joelembiid ,5,65477,0,0,1,-1.7012040524123342
664044,27915879,super bowl mvp nickfoles rings the bell pre game in philly for game 3 #philaunite,5,62064,0,0,1,-1.6244430354843613
784846,27915879,ahead of todays cavs action 830pm et #nbaonabc we showcase some of kingjames most clutch postseason moments,5,59560,0,0,1,1.1674711689844064
489423,27915879,21 points in game 2 20+ in his last 4 jaytatum0 warms up his shot in philly celtics vs sixers at 5 pm et on nbaonespn #nbaplayoffs,5,56169,0,0,1,-4.6449226868962175
547523,27915879,"bensimmons finds a way  #nbabreakdown  ___
 sixers x celtics game 3
 500pm et  nbaonespn",5,51156,0,0,1,-4.7633141040300995
557869,27915879, get pumped for todays celtics action 5pm et nbaonespn with gmb_chum12 micd up,5,42206,0,0,1,-4.514737634131612
379962,27915879,the houstonrockets take 2 1 series lead defeat utahjazz 113 92 #nbaplayoffs,5,3881,0,1,0,-4.5029993289581425
460049,27915879,i got you #thisiswhyweplay,5,2041,0,1,0,-0.34060724169690754
665883,27915879,cp3 breaks out the handles,4,84367,0,0,1,0.5959782347242484
665883,27915879,ccapela15 anchors the defense with a pair of swats,4,84154,0,0,1,-1.1444604246247607
394162,27915879,the pelicansnba 1 2 defeat the warriors 119 100 in game 3 #nbaplayoffs,4,81136,0,1,0,-1.4673378375067372
729964,27915879,the brow on the attack,4,80416,0,0,1,0.4865097352078793
659797,27915879, pierretpelican x markingram22 ,4,79067,0,0,1,-0.36635576427334016
666339,27915879,looking to take 2 1 series lead 1030pm et nbaonespn jharden13 warms up in utah,4,77943,0,0,1,-2.0204169381368993
525065,27915879,"congrats to stephencurry30 of the warriors for moving up to 4th on the #nbaplayoffs 3pm list

#thisiswhyweplay #dubnation",4,76018,0,1,0,-1.8886765367864855
665883,27915879,jrue_holiday11 attacks with the left,4,74772,0,0,1,-1.2760260668724428
607427,27915879,spidadmitchell gets loose for tonights game 3 1030pm et nbaonespn in utah,4,74182,0,0,1,-3.22017186616248
778361,27915879, stephencurry30 gets it to fall,4,73513,0,0,1,1.1040422729388533
741135,27915879,"james harden and chris paul first in the nba in total assists combined #statefarmassist  #rockets x #takenote game 3
 1030pm et  nbaonespn",4,70280,0,0,1,-0.635440154746169
639863,27915879,coming off 28 pts in his first #nbaplayoffs game this season stephencurry30 warms up for game 3 8pm et nbaonespn,4,69126,0,0,1,0.015260409716608803
681159,27915879,ahead of tonights warriors action 8pm et espn we bring back one of the #budweiserlegendarymoments of the #nbaplayoffs stephencurry30s clutch triple from the corner in new orleans,4,56634,0,0,1,0.17375723029226667
579745,27915879," listen in to the coach on the floor rajonrondo 
___
 pelicansnba x warriors game 3
 800pm et  nbaonespn",4,48594,0,0,1,-2.253003680016557
308483,27915879,join us in wishing vicoladipo of the pacers a happy 26th birthday #nbabday,4,25354,0,1,0,-4.434508654198168
461419,27901440,kingjames 14 assists are the most ever in a 40 point #nbaplayoffs game,4,24,0,1,0,-0.20183799968125407
445715,27901440,the celtics take 2 0 series lead defeat sixers 108 103 #nbaplayoffs,3,83751,0,1,0,-4.160506548110718
665895,27901440,gmb_chum12 with the euro,3,78516,0,0,1,-1.0423799778842089
665895,27901440,fchwpo returns with a bang,3,76129,0,0,1,-0.7003913527936062
704792,27901440,kingjames and the cavs are headed home with 2 0 series lead #phantomcam,3,74451,0,0,1,0.45134686904862087
442889,27901440,the cavs take 2 0 series lead defeat raptors 128 110 #nbaplayoffs,3,74394,0,1,0,-3.945875588617468
898087,27901440,kingjames fades for two in the 4th,3,74216,0,0,1,2.1892647035120287
898087,27901440,kingjames uses the screen down the lane for two,3,69549,0,0,1,2.931721344934613
561174,27901440,demar_derozan to the rack nbaonespn,3,67692,0,0,1,-0.4648633855654627
457105,27901440,coming off an #nbaplayoffs career high 7 triples in game 1 gmb_chum12 gets his shot loose pre game in boston celtics vs sixers at 830 pm et on nbaontnt,3,67205,0,0,1,-4.445324606046399
668215,27901440, x joelembiid,3,59736,0,0,1,-0.7912813173347765
615178,27901440,"this game is intense get hyped with the best reactions of the first two days of the tipoff 
day 3 of nba2kleague action is live now watch on twitch twitchtv nba2kleague 
follow online nba2kleaguecom",3,56369,0,0,1,-1.5086197844638554
757785,27901440, the latest #runthatback from the #nbaplaymakers on the nba facebook page,3,45411,0,0,1,0.3425872237351886
683279,27887710,every angle of spidadmitchells impressive putback,3,196,0,0,1,0.37176079537585605
330716,27887710,the utahjazz even the series 1 1 defeat houstonrockets 116 108 #nbaplayoffs,2,82124,0,1,0,-4.3929841689077325
659821,27887710,daanteee puts the  on the utahjazz w,2,82033,0,0,1,-1.7773488533696598
729990,27887710, oh my goodness ,2,80843,0,0,1,0.6244156591832141
665907,27887710,spidadmitchell droppin dimes in houston,2,75806,0,0,1,0.5065099387266223
607449,27887710,the utahjazz move the ball for the bossmann99 triple,2,74830,0,0,1,-1.3298530289838824
511378,27887710,"bossmann99 gets to the corner for the triple  #nbabreakdown  ___
 utahjazz x houstonrockets game 2
 800pm et  nbaontnt",2,62918,0,0,1,-5.681208867331669
660142,27887710,which was your fave slam from the opening round of the 2018 #nbaplayoffs,2,53929,0,0,1,-0.19621421153164298
749974,27887710,"introducing #stephiq the new trivia app triggered by stephencurry30s game up your game and compete for the new #curry5 sneakers and ua during the playoffs and if you answer all 8 questions correctly youre a winner you in
 
how to play
1 download the #stephiq app 
2 wait for steph to hit his first three 
3 answer the 8 questions ",2,41757,0,0,1,-1.7519804221522328
301900,27887710,join us in wishing ygtrece of the okcthunder a happy 28th birthday #nbabday,2,28518,0,1,0,-4.397420817546235
394467,27873962,the warriors take 2 0 series lead defeat pelicansnba 121 116 #nbaplayoffs,2,4591,0,1,0,-1.5618211851764132
683291,27873962,andre gets the friendly bounce on the slam,2,3285,0,0,1,0.3133856786664615
409471,27873962,make noise,2,3125,0,1,0,-0.8268114585857809
749047,27873962,steph is feelin it,2,1879,0,0,1,1.0148481681443655
747177,27873962,stephencurry30 returns to action for the warriors,1,86300,0,0,1,1.085865976723825
572884,27873962,the cavs did not lead until ot #phantomcam,1,83408,0,0,1,-0.2199638668140496
432009,27873962,the cavs take 1 0 series lead defeat raptors 113 112 in ot #nbaplayoffs,1,83249,0,1,0,-4.2635142138365865
665919,27873962,andre takes it strong,1,83070,0,0,1,-0.3489925695644486
467501,27873962,kingjames notches his second triple double of the 2018 #nbaplayoffs,1,81377,0,1,0,0.4307155461643907
730003,27873962,steph back,1,80939,0,0,1,1.0929047668551362
714579,27873962,its getting intense #nbaplayoffs,1,80931,0,0,1,0.5349766879824461
772645,27873962,poetry in motion kingjames punishes the rim from each side #phantomcam,1,78759,0,0,1,3.494845400442141
730003,27873962,toss it up,1,78191,0,0,1,0.13019909152006603
632693,27873962,"andre sets the pick  rolls for the slam  #nbabreakdown 
___
 pelicansnba x warriors game 2
 1030pm et  nbaontnt",1,73126,0,0,1,-4.138149818364956
898120,27873962,kingjames on the attack early,1,72710,0,0,1,2.90666567735327
554134,27873962,kyle_lowry7 and the easts top seed raptors are ready for round 2 nbaontnt,1,72412,0,0,1,-3.3247776399180764
423913,27873962,focused  #whateverittakes,1,71856,0,1,0,-0.1666729791922688
607460,27873962,demar_derozan gets loose for game 1 in toronto 8pm et nbaontnt,1,69655,0,0,1,-1.9824778190733183
561194,27873962,all business for the cavs as they arrive for game 1 in toronto 8pm et nbaontnt,1,65093,0,0,1,-4.024395027018861
629157,27873962,"kkorv26 finds the cutting kingjames for the late bucket #nbabreakdown  ___
 cavs raptors game  1
 800pm et  nbaontnt",1,58849,0,0,1,-2.6281403103272045
623918,27873962," coach steve kerr x stephencurry30
 ___
 pelicansnba warriors game 2
 1030pm et  nbaontnt",1,54171,0,0,1,-1.3077386392275052
677398,27873962,tap in to the game this #nbaplayoffs with the #nikexnba connected jersey and nikeconnect app,1,46683,0,0,1,-1.0886670432113443
386976,27873962,tell us who ya got for a chance to win tix to an #nbafinals game by using #kiawhoyagot #sweepstakes,1,36395,0,1,0,-2.4925432067232176
739215,27859939,the best of the #nbaplayoffs opening round by the #kickstartrisingstars,1,1747,0,0,1,1.004104072842972
369260,27859939,the celtics take 1 0 series lead defeat sixers 117 101 #nbaplayoffs,0,81854,0,1,0,-3.9109330528585082
675197,27859939,youngamechanger brings the energy,0,79489,0,0,1,-0.8807080980897517
675197,27859939,bensimmons takes it baseline for the reverse,0,76337,0,0,1,-0.7491382377006612
615924,27859939,gmb_chum12 sets up foestar13 in style,0,74892,0,0,1,-2.291630960705669
674811,27859939,who had your favorite dime of the #nbaplayoffs opening round in the west #assistsoftheweek,0,64402,0,0,1,-0.8944975970571123
683799,27859939,nan,0,60342,0,0,1,-0.2523729739026617
312375,27859939,tell us who ya got for a chance to win tix to an #nbafinals game by using #kiawhoyagot #sweepstakes,0,50611,0,1,0,-2.4925432067232176
298696,27859939,hows your bracket looking heading into round 2 theres still time to play the #nbaplayoffs bracket challenge presented by budweiserusa nbacom playoffs bracketchallenge ,0,38772,0,1,0,-3.150639778830587
749513,27844057,the top #kumhohandles of the #nbaplayoffs in the west thus far,0,1061,0,0,1,1.215563894054429
782116,27844057,the top #kumhohandles of the #nbaplayoffs in the east thus far,6,82588,0,0,1,1.8142882098754054
954448,27844057,kingjames becomes the first player to put up as many as 45 points 9 rebounds 7 assists  4 steals in a game 7 #nbaplayoffs,6,74753,0,0,1,2.513881421896091
297080,27844057,the houstonrockets take 1 0 series lead defeat utahjazz 110 96 #nbaplayoffs,6,65298,0,1,0,-4.802508727982738
725479,27844057, ccapela15 with the left,6,61040,0,0,1,-0.7218648424446195
667897,27844057,spidadmitchell in out and up with the left,6,58459,0,0,1,-1.1555021144075273
318036,27844057,the cavs defeat the pacers 105 101 in game 7 to advance to the conference semis #nbaplayoffs,6,58172,0,1,0,-4.516292721879286
738143,27844057,respect #thisiswhyweplay,6,57494,0,0,1,0.250081664378685
667897,27844057,realtristan13 comes across for the swat,6,57015,0,0,1,-0.2112784172164389
646868,27844057,vicoladipo steps back to beat the buzzer #nbaonabc,6,54201,0,0,1,0.2916098278860661
385935,27844057,"congrats to kingjames of the cavs for becoming the #nbaplayoffs steals leader 
#whateverittakes #thisiswhyweplay",6,50420,0,1,0,-0.9545445403956392
538280,27844057,following their big win at home to advance spidadmitchell and the utahjazz visit the houstonrockets 330pm et #nbaonabc in the conference semis,6,49964,0,0,1,-4.910243052087684
312076,27844057,win or go home its gametime #nbaonabc,6,47538,0,1,0,-0.262751975822341
312076,27844057,game 7 #nbaonabc,6,46723,0,1,0,-0.09518144211545582
810019,27844057,get pumped for todays game 7 1pm et #nbaonabc with kingjames and vicoladipos best finishes,6,34408,0,0,1,1.8195674146982013
334627,27844057,its win or go home for the pacers  cavs #nbaonabc #nbaplayoffs,6,21661,0,1,0,-2.9686608499686775
354349,27830699,the warriors take 1 0 series lead defeat pelicansnba 123 101 #nbaplayoffs,6,3702,0,1,0,-1.6391285757023328
354349,27830699,money23green notches his 4th career #nbaplayoffs triple double for the warriors with 16 14 11,6,1081,0,1,0,-2.93571809158636
785304,27830699,dmillerky from waaay out to beat the first half ,5,85768,0,0,1,1.3644285250881139
722973,27830699,klaythompson buries his third triple of the first half,5,85687,0,0,1,-0.30578409054160127
722973,27830699,what a pass by rajonrondo,5,84642,0,0,1,0.3416850867842328
860877,27830699, coach gentry x coach kerr ,5,83351,0,0,1,0.7120346321729554
397296,27830699,the celtics defeat the bucks 112 96 in game 7 to advance to the conference semis #nbaplayoffs,5,82020,0,1,0,-4.476241701555149
588899,27830699,the celtics hold off bucks to take game 7 and advance to play sixers #nbaplayoffs,5,81385,0,0,1,-5.150613531780804
791709,27830699, jaytatum0 on both ends #game7,5,78641,0,0,1,0.43474670120585096
659506,27830699,gmb_chum12 spins to get free nbaontnt,5,75264,0,0,1,-2.3552734982023837
681343,27830699," listen in as coach steve kerr motivates the warriors  ___
 pelicansnba warriors game 1
 1030pm et  nbaontnt",5,71943,0,0,1,-1.1587604227664414
666947,27830699,"ahead of tonights second round opener we showcase rajonrondos best in the #nbaplayoffs  ___
 pelicansnba warriors game 1
 1030pm et  nbaontnt",5,69643,0,0,1,-2.1767557313194703
496286,27830699,averaging 263 ppg 97 rpg  65 apg in the series giannis_an34 prepares for his first career game 7 bucks vs celtics 8 pm et nbaontnt #nbaplayoffs,5,65308,0,0,1,-6.215731086168404
680954,27830699,ahead of pelicansnba warriors #nbaplayoffs action 1030pm et nbaontnt we showcase one of their statistical strengths sharing the ball  #nbabreakdown,5,53194,0,0,1,-2.057654656163624
340668,27830699,tell us who ya got in tonights pelicansnba warriors opener for a chance to win tix to an #nbafinals game by using #kiawhoyagot #sweepstakes,5,39733,0,1,0,-2.3790501620321542
329602,27830699,game 7 the bucks and celtics battle to advance 8pm et nbaontnt,5,25334,0,1,0,-3.917783766784991
327171,27816431,the utahjazz defeat the okcthunder 96 91 to advance to the conference semis #nbaplayoffs,5,6015,0,1,0,-4.93842191885293
682243,27816431,spidadmitchell scores 38 pts to close out the series for the utahjazz  is congratulated by his mother postgame #thisiswhyweplay,5,5364,0,0,1,-1.3972836989683761
813238,27816431,the spin  the scoop,5,3053,0,0,1,0.7047621750824129
805805,27816431,neo  morpheus back at it  repost raptors,5,2731,0,0,1,-1.3194713746989484
397718,27816431,,5,1454,0,1,0,0.0
675233,27816431,spidadmitchell splits and finishes with the left,4,86215,0,0,1,-1.1756294096139108
615957,27816431,ygtrece hits ahead to russwest44 for the slam,4,84997,0,0,1,-1.4106208837425034
580898,27816431,vicoladipo would not be denied in game 6 #phantomcam,4,83902,0,0,1,0.3079153560780648
359035,27816431,the pacers defeat the cavs 121 87 to force a game 7 on sunday #nbaplayoffs,4,81403,0,1,0,-4.476596910628834
